(381, 999.390625)
(87, 999.390625)
(5611, 999.390625)
(382, 987.984375)
(88, 1008.1015625)
(5612, 984.3203125)
(383, 900.6015625)
(89, 451.84375)
(5613, 71.34375)
(5615, 4.390625)
(386, 5.3125)
(92, 2109.953125)
(5616, 5875.65625)
(387, 7756.0625)
(93, 9923.609375)
(5617, 9892.21875)
(388, 9889.7265625)
(94, 9959.34375)
(5618, 9886.4453125)
(389, 9921.90625)
(95, 9886.234375)
(5619, 9870.8515625)
(390, 9859.171875)
(96, 9884.109375)
(5620, 9943.5625)
(391, 9907.6796875)
(97, 9894.6328125)
(5621, 9823.2890625)
(392, 9893.0)
(98, 9881.109375)
(5622, 9253.640625)
(393, 7279.796875)
(99, 2701.90625)
(394, 1.84375)
(100, 1.84375)
(5624, 1.84375)
(401, 2.734375)
(107, 2.734375)
(5631, 4.578125)
(402, 1.84375)
(108, 1.84375)
(109, 47.953125)
(5633, 630.59375)
(404, 1070.546875)
(110, 1973.84375)
(5634, 1961.953125)
(405, 1985.734375)
(111, 1986.125)
(5635, 1974.234375)
(406, 1962.34375)
(112, 1961.953125)
(5636, 1961.953125)
(407, 1973.84375)
(113, 1973.84375)
(5637, 1976.578125)
(408, 1988.46875)
(114, 2000.359375)
(5638, 1997.625)
(409, 1973.84375)
(115, 1997.625)
(5639, 1973.84375)
(410, 1973.84375)
(116, 2021.40625)
(5640, 1950.0625)
(411, 1997.625)
(117, 1974.421875)
(5641, 1962.53125)
(412, 1962.53125)
(118, 1997.625)
(5642, 1973.84375)
(413, 1938.171875)
(119, 1961.953125)
(5643, 1997.625)
(414, 1973.84375)
(120, 1961.953125)
(5644, 2033.296875)
(415, 1997.625)
(121, 2021.40625)
(5645, 1973.84375)
(416, 1985.734375)
(122, 1973.84375)
(5646, 1998.203125)
(417, 2021.984375)
(123, 1976.265625)
(5647, 1987.578125)
(418, 1963.796875)
(124, 1950.0625)
(5648, 1938.171875)
(419, 1962.828125)
(125, 1975.9375)
(5649, 1977.0625)
(420, 1964.6875)
(126, 2036.09375)
(5650, 1999.296875)
(421, 1976.796875)
(127, 1940.484375)
(5651, 1967.0)
(422, 2036.671875)
(128, 1978.1015625)
(5652, 1987.2578125)
(423, 1939.6953125)
(129, 1973.84375)
(5653, 1985.734375)
(424, 1997.625)
(130, 1973.84375)
(5654, 1997.625)
(425, 1950.0625)
(131, 1951.765625)
(5655, 1999.328125)
(426, 1999.328125)
(132, 1964.3203125)
(5656, 1999.9921875)
(427, 1964.3203125)
(133, 1961.953125)
(5657, 1973.84375)
(428, 1902.5)
(134, 1961.953125)
(5658, 1961.953125)
(429, 1973.84375)
(135, 1965.375)
(5659, 2012.9375)
(430, 2001.96875)
(136, 1985.9140625)
(5660, 1997.8046875)
(431, 1996.8828125)
(137, 1979.8671875)
(5661, 1982.359375)
(432, 1972.1953125)
(138, 1993.4296875)
(5662, 1981.78125)
(433, 1944.3828125)
(139, 2025.7734375)
(5663, 1975.4765625)
(434, 2011.1484375)
(140, 1999.46875)
(5664, 2011.359375)
(435, 1952.546875)
(141, 1976.7578125)
(5665, 1976.7578125)
(436, 1952.9765625)
(142, 1976.15625)
(5666, 1964.90625)
(437, 1976.15625)
(143, 1952.375)
(5667, 1975.515625)
(438, 1999.296875)
(144, 1993.234375)
(5668, 1923.171875)
(439, 2006.40625)
(145, 1989.1171875)
(5669, 1976.5859375)
(440, 1976.5859375)
(146, 1986.375)
(5670, 1973.84375)
(441, 1985.734375)
(147, 1974.234375)
(5671, 1962.34375)
(442, 1998.015625)
(148, 772.890625)
(5672, 321.046875)
(443, 23.78125)
(152, 3.0625)
(5676, 3.0625)
(447, 3.0625)
(5677, 1.21875)
(448, 1.21875)
(5679, 3.953125)
(450, 1.21875)
(5683, 1.21875)
(454, 1.21875)
(5691, 1.21875)
(462, 6.265625)
(5692, 5.046875)
(469, 2.734375)
(5699, 2.734375)
(5704, 1.84375)
(475, 1.84375)
